id,sentence1,sentence2,label
0,سكب الحليب على حبوبه.,سكب عصير البرتقال على حبوبه.,0
1,هو يشرب الحليب.,هو يشرب التفاح.,0
2,ركض جيف 100000 ميل اليوم,ركض جيف ميلاً اليوم,1
3,أنا ألدغ بعوضة,البعوضة تلدغني,1
4,الزرافة شخص.,ابنة الأخت شخص.,1
5,الخزانة العادية أكبر من خزانة الملابس.,خزانة الملابس أكبر من الخزانة العادية.,1
6,أنا أحب أن أركب دراجتي,أحب ركوب الشوكولاتة,0
7,فتاة فازت بالسباق مع الحصان,فتاة فازت بالسباق مع صديقها,1
8,يصب الماء في الإبريق,وضع الفيل في الإبريق,0
9,كلب يلعب الكرة الطائرة,فتاة تلعب الكرة الطائرة,1
10,يجد الأطفال البيض في عيد الفصح.,البيض يأكل القبلات في عيد الفصح.,0
11,شرب مارك الماء.,شرب مارك دفتر ملاحظات.,0
12,ذهب إلى البنك لسحب النقود.,ذهب إلى مركز الشرطة لسحب النقود.,0
13,يمكن للموظف تسعير البضائع,يمكن للمالك تسعير البضائع,1
14,ترتدي قبعة في اليد,ترتدي أساور في اليد,1
15,رمي ابن عمي المنزل لأخي.,ابن عمي يرمي كرة الثلج لأخي.,1
16,براعم الورود تأكل اليرقات,اليرقة تأكل برعم الورد,1
17,لعبت ليزا موسيقى الجاز لرئيس الولايات المتحدة أمس.,لعبت ليزا موسيقى الجاز لموسى العهد القديم أمس.,0
18,تعطل جهاز الكمبيوتر وسوف يقوم الفني بإصلاحه,تعطل جهاز الكمبيوتر وسوف يقوم الطبيب بإصلاحه,0
19,لقد شربت مياه عذبة,شربت مبيض غسيل.,0
20,أنا عادة أرتدي حذاءًا في قدمي,أنا عادة أرتدي حذاءًا على رأسي,0
21,وضع أخي المفاعل النووي داخل الصندوق.,وضع أخي السيارة داخل الصندوق.,1
22,أخذت الكلب في نزهة,أخذت كرسي للنزهة,0
23,نبحت القطة على كلب في الشارع.,نبح كلب على قطة في الشارع.,1
24,جز العشب الطويل,لقد قام بجز السجاد,0
25,أنا أقود سيارة,أنا أقود دراجة,0
26,أنا ألبس بنفسي,أنا ألبس فيل,0
27,أطبخ كرة القدم بشكل جيد للغاية,أنا أطبخ السمك جيدًا,1
28,القارب هو وسيلة جيدة للغاية للتنقل داخل المياه,السيارة هي وسيلة جيدة للغاية لتنقل داخل المياه,0
29,يتم أخذ الكلب إلى حمام السباحة بعد مرضه,يتم أخذ الكلب إلى طبيب بيطري بعد مرضه,1
30,ركبت دراجتها إلى المتجر.,ركبت دراجتها إلى القمر.,0
31,لقد أغلق الصبي,لقد أغلق الهاتف المحمول,1
32,زرع بذور الخيار في الحديقة.,زرع بذور الخيار في الأريكة.,0
33,ألعب الألعاب على جهاز الكمبيوتر المحمول,ألعب ألعاب على موقد الغاز الخاص بي,0
34,قرأتني النجوم,قرأت النجوم,1
35,صبي يطفئ النور,صبي يطفئ الباب,0
36,قرأ كتابا عن الملك توت.,قرأ الملك توت نافذة طويلة جدا.,0
37,فقد هاتفه في فم غريفين وهو حيوان خرافي.,فقد هاتفه في الحديقة.,1
38,تناولت سارة كوباً من البنزين,تناولت سارة كوباً من الماء,1
39,احتفظ بالكرسي داخل الثلاجة,احتفظ بزجاجة عصير في الثلاجة,1
40,قرأت كتاباً .,قرأت نمر,0
41,أستخدم الإنترنت في هاتفي المحمول,أستخدم الإنترنت في الراديو الخاص بي,0
42,قادت أطفالها إلى الملعب.,قادت أطفالها إلى القمر.,0
43,قفزت سارة بالمظلة من الطائرة الى محل البقالة.,قادت سارة السيارة إلى محل البقالة.,1
44,تسبح الأسماك في المحيط.,تسبح الأسماك في الصحراء.,0
45,كان هناك مخلوق جليد ميت يمشي في الثلج.,كان هناك رجل يمشي في الثلج.,1
46,أنا أسبح في حوض السباحة,أنا أسبح تحت الصنبور,0
47,شخص يأكل الجبال,شخص يأكل الطماطم,1
48,رأت جين زرافة في حقيبتها.,رأت جين زرافة في حديقة الحيوانات.,1
49,نستخدم الكتاب لمعرفة الوقت,نستخدم الساعة لمعرفة الوقت,1
50,كنت ألعب كرة السلة بصخرة,كنت ألعب كرة السلة بالكرة,1
51,أخذت ماري فراشها في نزهة,أخذت ماري كلبها في نزهة,1
