id,non-commonsense-statement,sentence1,sentence2,sentence3,label
0,سكب عصير البرتقال على حبوبه.,عادة ما يكون عصير البرتقال برتقاليًا لامعًا.,عصير البرتقال طعمه ليس جيدًا مع الحبوب.,عصير البرتقال لزج إذا سكبته على الطاولة.,1
1,يشرب التفاح.,عصير التفاح لذيذ جدًا والحليب أيضًا,لا يمكن شرب التفاح واعتباره عصيرا,التفاح لا يمكنه أكل إنسان,1
2,ركض جيف 100000 ميل اليوم,100000 ميل هي طريق طويل حتى يتمكن شخص واحد من الركض في يوم واحد.,جيف هو اسم من أربعة أحرف و 100000 له ستة أرقام رقمية,"100،000 ميل أطول من 100،000 كم.",0
3,أنا ألدغ بعوضة,الإنسان كائن ثديي.,إنسان آكل,الإنسان لا يمكن أن له يلسع,2
4,الزرافة هي شخص.,يمكن للزرافات شرب الماء من البحيرة.,الزرافة ليست بشرا.,عادة ما تأكل الزرافات أوراق الشجر.,1
5,الخزانة العادية أكبر من خزانة الملابس.,خزائن الملابس هي خزائن عادية.,يمكن للشخص أن ينام في خزانة ملابس.,لا يمكن لأي شخص المشي في الخزانة العادية لأنها أصغر من خزانة الملابس.,2
6,أحب ركوب الشوكولاتة,الشوكولاتة لذيذة والدراجات ليست كذلك,الشوكولاتة غذاء وليست وحدة نقل,دراجتي لا تستطيع ركوب الشوكولاته,1
7,الفتاة فازت بالسباق على الحصان الحصان,الفتاة لديها شعر جميل ولكن الحصان ليس لديه,لباس الفتاة البنت لكن الحصان ليس عنده.,الحصان يركض أسرع من الفتاة,2
8,وضع الرجل الفيل في الإبريق,الفيلة حيوان وابريق شيء,الإبريق صغير جدًا مقارنة بالفيل,يستخدم إبريق لتخزين الأشياء,1
9,كلب يلعب الكرة الطائرة,فقط البشر يلعبون الكرة الطائرة,الكلاب ليست حيوانات برية,يثق البشر بالكلاب,0
10,البيض يأكل الفتاة في عيد الفصح.,يحتوي عيد الفصح على الكثير من البيض.,لا بيضة تأكل الأطفال.,تصنع البيض لعيد الفصح.,1
11,شرب مارك الايباد.,كان الايباد أصفر ولم يشرب أي شيء أصفر.,جهاز الايباد هو مادة صلبة ويمكن للشخص بحكم تعريفه شرب سائل فقط,تكلفة أجهزة الايباد المحمولة $ 500,1
12,ذهب إلى مركز الشرطة لسحب النقود.,تلتقط الشرطة اللصوص بينما يمكن للمال أن يشتري لك أشياء.,مركز الشرطة هو مكان لتقديم الشكاوى الجنائية.,مركز الشرطة لديه سجون ولكن ليس لديه مال ليعطيه.,1
13,يمكن للموظف تسعير البضائع,يقدم المالك الأطعمة للموظفين,يقف أصحاب دائما وبيع السلع,يمكن للمالك فقط تسعير البضائع,2
14,ترتدي قبعة في اليد,قبعة سوداء اللون عادة وأساور بألوان مختلفة,عادة يتم ارتداء قبعة على الرأس,ستكون القبعة كبيرة الحجم,1
15,رمي ابن عمي المنزل لأخي.,عادة ما تكون المنازل غالية الثمن.,المنزل أكبر من أن يرميه أحد.,هناك العديد من المنازل في هذا الشارع.,1
16,براعم الورود تأكل اليرقات,براعم الورد صالحة للأكل بينما اليرقات ليست كذلك,تتفتح براعم الورد وتزحف اليرقات,اليرقات لها أفواه بينما براعم الورد لا,2
17,سمعت ليزا موسيقى الجاز لموسى من العهد القديم أمس.,كان موسى مشغولاً للغاية في التحدث إلى الأدغال المحترقة,لقد مات موسى منذ فترة طويلة ولم يكن بإمكان ليزا سماع حفل موسيقي أمس.,الجاز هو شكل فني يتلاشى,1
18,تعطل جهاز الكمبيوتر وقام الطبيب بإصلاحه,الفني يشفي الناس والطبيب يشفي الآلات,الفني صديق للطبيب ويقوم بإصلاح الكمبيوتر,الطبيب لا يصلح أجهزة الكمبيوتر,2
19,شربت مبيض.,المبيض سائل أكثر كثافة من الماء.,يستخدم المبيض للتنظيف.,لا يتم تخزين المبيض في المطبخ.,1
20,أنا عادة أرتدي حذاءًا على رأسي,قبعة تبدو جيدة على الرأس,يمكن ارتداء الحذاء بالقدمين فقط,نرتدي أشياء مختلفة على الرأس,1
21,وضع أخي المفاعل النووي داخل الصندوق.,يمكن احتواء المفاعل النووي في حاوية.,المفاعل النووي موجود في مكان.,المفاعل النووي أكبر من أن يتم وضعه في صندوق.,2
22,أخذت كرسي للنزهة,الكراسي لا تستطيع المشي,يمكن للكراسي أن تذهب فقط للجري,كرسي أحمر,0
23, زئر كلب عند قطة في الشارع.,الكلاب لا تزأر عادة عند القطط.,الزئير ليس سمة الكلب.,الكلاب لا تزأر عندما تلاحق القطط.,1
24,هو قص السجاد,العشب عادة ما يكون أخضر بينما السجاد عادة لا,"جزازات العشب لقطع العشب ، وليس السجاد",السجاد أقصر من أن جز,1
25,أنا أقود دراجة,تعتبر الدراجة والسيارة وسيلة نقل جيدة جدًا,يمكنني استخدام دراجتي أو استخدام سيارتي للذهاب إلى المكتب,يتم ركوب الدراجة وليس قيادتها,2
26,ألبس فيل,الفيل حيوان بري وليس ملابس,الفيل رمادي,الفيل لديه خرطوم,0
27,أطبخ كرة القدم بشكل جيد للغاية,كرة القدم هي شيء تلعبه وليس شيئًا لتأكله,كرة القدم المحفوظة على الطاولة تبدو جيدة,كرة القدم والبطيخ متساوية في الحجم تقريبًا,0
28,السيارة هي وسيلة جيدة للغاية لنقل المياه,تعتبر السيارة والقارب وسيلة نقل جيدة,السيارة هي وسيلة النقل,يمكنني استخدام قارب وسيارة للسفر,1
29,يتم أخذ الكلب إلى حمام السباحة بعد مرضه,الكلاب تمرض وتنظيف حمامات السباحة,لا يحتوي المسبح على رعاية طبية للحيوانات,لا يستطيع الكلب أن ينشر بركة,1
30,ركبت دراجتها إلى القمر.,دراجتها ليست نفس لون القمر.,"المتجر هو مكان معقول لركوب الدراجة ، ولا يمكننا ركوب دراجتنا إلى الفضاء الخارجي أو القمر.",لم تحصل على إذن من والديها لركوب دراجتها البعيدة عن المنزل.,1
31,صبي يغلق,الفتى مليء بالطاقة,الفتى ذكر,"يمكن للفتى أن ينام ، ولكن لا يمكن للفتى أن يزرع فيها",2
32,زرع بذور الخيار في الأريكة.,تجعل بذور الخيار الجلوس على الأريكة غير مريح.,يمكن أن يكون حفر حفرة في الأريكة لزراعة البذور فوضويًا جدًا.,يحتاج الخيار إلى ظروف حديقة للنمو بدلاً من الأريكة.,2
33,ألعب ألعاب على موقد الغاز الخاص بي,موقد غاز معدات مهمة جدا تستخدم في المنزل,كثيرا ما يستخدم موقد الغاز في المنزل,موقد الغاز هو معدات لطهي الطعام,2
34,النجوم قامت النجوم بالقراءة لي,النجوم ليس لها عيون,النجوم كبيرة جدًا,النجوم بعيدة جدًا,0
35,صبي يغلق الباب,لا يمكن للباب أن يطفئ النور,يمكن إغلاق الباب ولكن لا يمكن اضاءة الباب,لا يمكن للضوء أن يغلق الباب,1
36,قرأ نافذة طويلة جدا الملك توت.,"تحتوي الكتب على صفحات وكلمات لقراءتها ، بينما لا تحتوي النوافذ على غرض مختلف وتخدمها.",تم اختراع النوافذ الزجاجية بعد ولادة الملك توت.,"تسمح النوافذ بدخول الشمس ، التي تحب القطط الاستلقاء فيها بينما تخلق الكتب ظلًا يجعل القطة تنتقل إلى مكان أكثر تشمسًا.",0
37,فقد هاتفه في فم غريفين.,سيجد غريفين أن معدن الهاتف مثير للاشمئزاز ولا يريد أن يأكله.,يشارك غريفين دائمًا ما يأكله مع غريفينز الطفل.,الجريفين مخلوق أسطوري غير موجود.,2
38,كان لدى سارة كوب من البنزين,سارة لا تحب طعم البنزين,لم تكن سارة متعطشة بما يكفي للحصول على كوب كامل من البنزين,شرب البنزين خطر على حياة المرء,2
39,احتفظ بالكرسي داخل الثلاجة,تخزين الخضار والفواكه الثلاجة,كرسي أكبر من الثلاجة,كرسي الجلوس,1
40,قرأت نمر,النمر ليس لديه رسائل على جسدة,النمر برتقالي,النمر البرية,0
41,أستخدم الإنترنت في الراديو الخاص بي,نحصل على إشارة على الراديو,الراديو وسيلة رائعة للتواصل,لا يمكن استخدام الإنترنت في الراديو,2
42,اصطحبت أطفالها إلى القمر.,لا يستطيع الأطفال التنفس على القمر.,القمر ليس له مجموعات تأرجح.,القمر لا يمكن الوصول إليه بالسيارة.,2
